th	12641350
he	11282123
in	8851244
er	7480831
an	6886577
re	6615894
on	5766958
en	5045560
at	5038720
nd	4793511
or	4348035
es	4301082
ed	4238142
it	4156992
ou	4104990
ti	4060615
to	4018592
ar	3997701
te	3965291
ha	3915836
ng	3847958
is	3836262
st	3790289
al	3655402
nt	3502797
of	3461488
as	3383614
se	3247795
ve	3156333
le	3014480
me	2844755
co	2764972
hi	2762729
ea	2737522
ro	2604393
de	2540135
ne	2508214
ll	2460781
ri	2429438
io	2325997
li	2262349
ic	2258462
be	2247975
ra	2164376
ce	2161098
ch	2111001
om	1985550
el	1978946
ma	1949952
ur	1938573
ho	1882920
la	1876441
si	1823449
ca	1823018
ta	1816901
wa	1804583
fo	1772138
no	1714984
ut	1686888
pe	1682866
il	1660756
ly	1652114
us	1627532
ee	1615579
ec	1585765
ac	1575867
et	1569417
ot	1563200
un	1562622
di	1559580
we	1555749
wh	1511403
ns	1503805
pr	1490018
sh	1489610
rs	1477586
wi	1462671
lo	1452754
ad	1447733
so	1445096
ge	1419507
tr	1415518
ow	1374412
ct	1366645
ai	1348723
nc	1340654
rt	1313539
ie	1300247
em	1293545
ul	1289912
ss	1282098
po	1272047
id	1259162
ol	1252246
ni	1185372
mo	1169976
ir	1162055
pa	1152182
ts	1143723
mi	1113440
ld	1094775
na	1088725
im	1084034
ke	1077523
fi	1036268
su	1026954
ay	1018153
gh	1006436
os	1005978
am	982873
wo	980554
yo	976399
pl	965176
do	954863
oo	954603
ig	950576
vi	940558
sa	936900
iv	912561
ev	910243
ry	886952
ci	875545
ia	856516
av	852189
op	850737
ab	845060
bl	830741
fe	822070
mp	821918
's	821345
bu	813354
bo	787031
tu	783567
ag	765200
rd	749523
fr	748181
if	733940
ty	720812
ov	719450
ey	699004
ap	692459
da	690134
ex	688809
go	671898
tt	663203
sp	659319
od	645338
rm	640614
ba	639446
gr	639413
ck	623619
uc	620773
ei	620488
ht	604006
ep	589179
by	580181
ff	577379
fa	575389
up	574865
rn	569979
ye	563320
cl	560584
ga	554141
oc	553222
cu	551350
ef	550832
ug	547045
cr	531125
pp	528487
sc	506687
ls	505287
gi	499026
ds	475773
qu	473879
ki	463465
br	462466
du	461031
ak	457735
au	454355
ue	451202
rr	450577
pi	438772
ew	433093
ru	430064
ua	428800
um	428007
lt	426763
lu	417487
ny	403352
mu	401130
bi	399434
rk	396502
va	391740
tl	387243
eg	378650
pu	377873
ui	377828
mm	375224
oi	367486
rc	364679
dr	360795
fu	359663
ys	346642
rl	345930
tw	344273
rg	342326
ok	341694
ft	341089
n'	340646
mb	338090
wn	337259
't	333928
ob	326269
ms	315157
hr	313864
pt	304939
ud	303974
af	303411
ub	296224
gu	296211
ib	294599
nn	292299
ip	284919
nk	282302
og	280705
19	276118
eo	272265
cc	270765
ju	268220
nu	265543
kn	261521
aw	251792
ph	249909
nl	247578
ik	246470
gl	240774
hu	239941
oa	236770
sm	235055
fl	230706
my	226892
rv	224250
jo	223323
vo	221721
sl	217794
xp	216429
_t	213718
nf	211981
ps	210331
gn	209848
lf	204313
gs	203229
ks	201950
dy	198425
00	190447
nv	188568
_o	185712
sk	181773
dd	175940
t_	172493
xt	168657
sy	165624
n_	159770
oy	151468
tc	150947
eq	150273
je	148532
hy	147433
oe	145696
dl	145105
r_	141715
ah	140435
rp	137581
bs	136171
oh	135120
yi	133128
cy	128753
iz	124084
ze	122539
ws	122447
gg	118733
_a	117276
lv	116786
e-	116513
nm	115169
dg	111832
lk	108155
sw	106168
eh	106151
wr	104216
s_	102328
tm	100883
eb	100739
ja	98958
eu	98529
rf	98133
ek	96765
xi	94385
rb	93509
mr	93368
xa	92166
ix	91076
hn	89770
'v	89191
98	88501
lm	86504
_f	84879
'r	84357
lp	83658
_c	81963
_l	80820
xc	78620
e_	76633
ka	76488
a_	74618
ym	74577
'l	73301
&p	72683
d;	71251
yt	70933
cs	70865
gy	69765
uf	69667
dv	69284
n-	69174
-s	68568
t-	68485
xe	68069
ya	67913
10	67516
'd	67413
'm	66429
ax	66421
yp	63969
hs	63850
r-	62700
o_	62601
lw	62257
-t	62173
rh	62091
bj	61425
rw	60841
99	59564
-c	59108
ox	58916
pm	58571
bb	58555
_w	58490
sf	57698
yl	55264
wl	54957
dm	54179
o-	54169
za	53819
-o	53360
ae	53221
kl	52621
18	52142
az	51998
h_	51815
,0	50515
bt	49632
d-	49497
lr	48843
50	48590
h;	47918
20	47201
aj	47088
gt	46102
lc	45736
y-	45427
-b	45169
hl	45020
;1	44756
&n	44566
97	44161
yn	43110
py	42458
hm	42147
-p	41811
iu	40856
l-	40766
nj	40598
30	40159
nh	40050
zi	39677
sn	39386
_i	38290
12	38096
-f	37435
yc	36628
15	36575
sb	36387
tn	36124
f_	36007
90	35825
-m	35503
dw	34618
-r	34448
-l	34398
uk	34164
-d	33791
ky	33513
sq	32589
-e	32264
ko	31906
p_	31889
-a	31563
g_	31527
f-	31294
uy	30788
17	30647
iq	30088
16	30013
h-	29892
11	29732
80	29352
&d	29165
fy	29122
yb	28922
p.	28899
dn	28837
-w	28176
25	28113
lb	28062
ii	28049
nr	27979
d_	27857
&a	27623
g-	26929
uo	26742
40	26724
91	26661
-h	26634
0s	26409
_e	26385
14	26296
r;	26136
l_	26085
nw	25979
yw	25954
mn	25770
60	25699
96	25692
92	25352
sd	25333
ml	25286
oj	25227
tf	25120
_b	24873
13	24767
0,	24677
y_	24184
nb	24066
89	23571
93	23322
_s	23271
r.	22960
_r	22683
;2	22678
-i	22572
70	22429
mc	22293
yd	22250
95	21949
i-	21922
np	21889
s-	21708
&e	21598
gm	21186
bv	21147
sr	20714
yr	20356
tb	20299
88	20265
e;	20230
zo	20162
-u	19603
-g	19465
.1	18767
wt	18633
lg	18603
oz	18576
1.	18483
n.	18373
_p	18208
94	18196
vy	18161
fs	18151
g.	18091
nq	18083
86	18001
85	17492
.5	17398
mf	17376
87	17281
-y	17187
ez	17018
2.	16854
24	16787
c.	16481
22	16415
xu	16394
zz	16361
cq	16341
e.	16248
21	16228
.2	16088
23	16018
xh	16008
.3	15818
0.	15666
ln	15649
hb	15456
dh	15437
df	15388
;3	15288
wd	15264
s.	15260
k-	15227
75	15153
ji	15074
hd	14933
dc	14858
aa	14537
bm	14367
a-	14349
ej	14210
tp	14089
kh	14065
t.	13884
sg	13770
83	13729
3.	13722
37	13619
84	13575
dj	13508
ux	13471
db	13269
nz	13246
28	13236
81	13135
wy	13077
38	13000
hw	12763
aq	12702
31	12690
27	12576
;5	12573
26	12528
xf	12510
45	12457
79	12431
v.	12381
ao	12343
35	12306
ku	12153
1,	12024
82	11993
4.	11636
;4	11615
gd	11494
29	11475
&f	11277
.4	11093
mh	11093
tz	11039
_d	11032
_m	11015
.0	10914
tv	10909
-1	10881
bc	10726
kr	10720
p-	10573
0&	10562
36	10515
77	10355
td	10324
-n	10218
5.	10187
.9	10186
78	10178
o'	10024
w-	9989
65	9949
32	9906
x-	9845
_g	9809
uz	9739
t'	9738
76	9730
kg	9714
kw	9693
kf	9681
pc	9620
a.	9492
tg	9401
6.	9336
71	9293
uv	9214
m-	9192
74	9157
33	9074
cd	9007
7.	8930
73	8855
72	8854
xo	8836
_n	8809
48	8802
;6	8791
34	8624
0%	8564
01	8502
55	8468
km	8426
md	8348
cm	8333
2,	8321
0-	8317
39	8308
68	8292
l;	8213
64	8187
wf	8186
gb	8127
l.	8117
nx	8071
&m	8052
0m	8015
.6	7849
66	7769
i.	7752
/2	7703
5,	7684
.7	7665
b-	7649
d.	7623
;7	7609
dt	7598
zy	7591
r&	7589
b.	7570
42	7542
44	7426
;8	7386
47	7384
69	7370
67	7329
m.	7258
w_	7208
s/	7139
dp	7129
hc	7080
pb	7063
62	6940
.8	6932
9.	6912
-k	6871
yg	6871
41	6841
s&	6827
52	6791
43	6762
j.	6761
53	6732
05	6721
vu	6716
51	6707
8.	6704
63	6649
pf	6619
kb	6599
61	6596
yu	6582
1&	6568
56	6535
54	6522
46	6502
kt	6498
02	6470
58	6461
wc	6461
hf	6382
49	6288
57	6271
zl	6271
'c	6185
o.	6174
59	6123
.e	6113
xy	6025
bd	5926
5&	5903
;9	5881
2&	5838
.g	5748
5%	5669
wb	5604
pd	5485
3,	5452
03	5445
mt	5412
;t	5409
wk	5390
-v	5368
04	5368
.c	5348
c-	5289
d'	5285
,5	5256
p;	5222
lh	5220
kp	5215
08	5187
07	5169
&r	5131
e/	5113
rx	5107
cp	5103
-2	4882
q.	4851
gw	4844
06	4833
cn	4820
09	4783
;r	4774
4&	4743
bn	4715
t&	4672
vr	4667
c1	4637
&i	4615
h.	4606
;s	4605
uu	4582
'a	4580
0/	4574
;c	4550
_v	4546
cg	4537
yf	4536
gf	4498
ih	4482
/0	4474
2-	4466
pw	4433
&o	4372
6&	4331
3&	4325
hp	4314
'e	4313
r/	4278
d/	4276
/o	4275
4,	4177
y;	4140
;0	4118
5m	4106
/1	4096
n/	4061
/s	4004
;n	3980
5-	3972
p&	3968
;l	3941
ij	3939
-j	3857
.r	3845
.m	3790
8&	3787
uh	3778
0p	3767
h&	3766
pn	3728
pg	3708
.v	3697
4-	3682
w.	3681
l&	3667
g/	3665
kd	3644
rq	3632
zu	3632
wm	3621
